Distance Metric,Experiment Type,M,Ef Construct,Limit,Ef Search,Avg Latency,Throughput (QPS),Recall,Indexing Time
dot,flat,16,64,10,128,0.4743323527097702,2.1082264245463986,0.99912,802.839494228363
dot,flat,16,64,10,256,0.4563529252052307,2.1912864907139156,0.9992,800.5725333690643
dot,flat,16,64,10,512,0.4573800973653793,2.186365357304009,0.99918,790.8227450847626
dot,flat,16,64,100,128,0.4565492320537567,2.1903442822618837,0.999855,809.137335062027
dot,flat,16,64,100,256,0.45864395825862886,2.1803405059488457,0.999846,797.410314321518
dot,flat,16,64,100,512,0.4537050106048584,2.2040752837771103,0.999849,794.6925919055939
dot,flat,16,128,1,128,0.45554068365097045,2.1951936147292335,0.993,801.8673851490021
dot,flat,16,128,1,256,0.4538225805521011,2.2035042830690417,0.993,805.6027534008026
dot,flat,16,128,1,512,0.454844513130188,2.19855350813867,0.993,806.9880077838898
dot,flat,16,128,10,128,0.4736011142015457,2.1114815189696534,0.99921,801.0078155994415
dot,flat,16,128,10,256,0.47508675310611725,2.1048787268051568,0.9992,801.7978687286377
dot,flat,16,128,10,512,0.45823060450553893,2.1823073146305143,0.99925,806.0726153850555
dot,flat,16,128,100,128,0.47685620737075807,2.0970682242215104,0.999862,794.352338552475
dot,flat,16,128,100,256,0.4679337578296661,2.1370546220860875,0.999844,801.1921317577362
dot,flat,16,128,100,512,0.497464915060997,2.010192015003479,0.999845,791.665441274643
